schema_name,enum_type,enum_value,enumsortorder
notify,channel_enum,websocket,1
notify,channel_enum,sse,2
notify,channel_enum,push,3
notify,channel_enum,email,4
notify,channel_enum,sms,5
notify,channel_enum,voice,6
notify,channel_enum,kakao,7
notify,delivery_status_enum,queued,1
notify,delivery_status_enum,sent,2
notify,delivery_status_enum,delivered,3
notify,delivery_status_enum,read,4
notify,delivery_status_enum,ack,5
notify,delivery_status_enum,failed,6
notify,delivery_status_enum,expired,7
notify,delivery_status_enum,canceled,8
notify,kind_enum,system,1
notify,kind_enum,schedule,2
notify,kind_enum,info,3
notify,kind_enum,contact,4
notify,kind_enum,marketing,5
notify,kind_enum,inbound,6
notify,severity_enum,green,1
notify,severity_enum,blue,2
notify,severity_enum,yellow,3
notify,severity_enum,orange,4
notify,severity_enum,red,5
